Trang|Mô tả trang|Key|Tiếng Anh (tham khảo)|Tiếng Việt hiện tại|Tiếng Việt mới (CHỈNH SỬA CỘT NÀY)
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.mistake|Think this is a mistake?|Bạn nghĩ đây là nhầm lẫn?|Bạn nghĩ đây là nhầm lẫn?
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.mistakeHelp|Please double-check your class name and re-apply, or contact us with your correct ABG class details so we can verify manually.|Vui lòng kiểm tra lại tên lớp và đăng ký lại, hoặc liên hệ với chúng tôi kèm thông tin lớp ABG chính xác để chúng tôi xác minh thủ công.|Vui lòng kiểm tra lại tên lớp và đăng ký lại, hoặc liên hệ với chúng tôi kèm thông tin lớp ABG chính xác để chúng tôi xác minh thủ công.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.contactUs|Reach out to us at|Liên hệ chúng tôi tại|Liên hệ chúng tôi tại
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.contactUsSuffix|and we'll be happy to help.|và chúng tôi sẵn lòng hỗ trợ.|và chúng tôi sẵn lòng hỗ trợ.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.rejection.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.subject|You've been upgraded to Premium - ABG Alumni Connect|Bạn đã được nâng cấp lên Premium - ABG Alumni Connect|Bạn đã được nâng cấp lên Premium - ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.greeting|Hi {name},|Xin chào {name},|Xin chào {name},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.yourMembership|Your membership|Gói thành viên của bạn|Gói thành viên của bạn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.premiumMember|Premium Member|Thành viên Premium|Thành viên Premium
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.congrats|Congratulations! Your account has been upgraded to Premium. You now have access to all premium features:|Chúc mừng! Tài khoản của bạn đã được nâng cấp lên Premium. Bạn có quyền truy cập tất cả các tính năng cao cấp:|Chúc mừng! Tài khoản của bạn đã được nâng cấp lên Premium. Bạn có quyền truy cập tất cả các tính năng cao cấp:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.benefit1|Up to 100 connection requests per month|Tối đa 100 yêu cầu kết nối mỗi tháng|Tối đa 100 yêu cầu kết nối mỗi tháng
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.benefit2|See full member profiles (name, phone, LinkedIn)|Xem đầy đủ hồ sơ thành viên (tên, SĐT, LinkedIn)|Xem đầy đủ hồ sơ thành viên (tên, SĐT, LinkedIn)
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.benefit3|Up to 10 AI-powered matches per request|Tối đa 10 lượt ghép đôi AI mỗi yêu cầu|Tối đa 10 lượt ghép đôi AI mỗi yêu cầu
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.benefit4|Priority matching and support|Ưu tiên ghép đôi và hỗ trợ|Ưu tiên ghép đôi và hỗ trợ
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.startExploring|Start exploring the ABG Alumni network and find the connections you're looking for!|Bắt đầu khám phá mạng lưới ABG Alumni và tìm kiếm những kết nối bạn mong muốn!|Bắt đầu khám phá mạng lưới ABG Alumni và tìm kiếm những kết nối bạn mong muốn!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.ctaButton|Start Finding Connections|Bắt đầu tìm kết nối|Bắt đầu tìm kết nối
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.premium.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.subject|[ABG Connect] {requesterName} wants to connect with you|[ABG Connect] {requesterName} muốn kết nối với bạn|[ABG Connect] {requesterName} muốn kết nối với bạn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.greeting|Hi {targetName},|Xin chào {targetName},|Xin chào {targetName},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.receivedRequest|You just received a connection request from a member of the ABG Alumni community. Here is their information:|Bạn vừa nhận được một yêu cầu kết nối từ một thành viên trong cộng đồng ABG Alumni. Dưới đây là thông tin của họ:|Bạn vừa nhận được một yêu cầu kết nối từ một thành viên trong cộng đồng ABG Alumni. Dưới đây là thông tin của họ:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.messageFrom|Message from {requesterName}:|Lời nhắn từ {requesterName}:|Lời nhắn từ {requesterName}:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.privacyLabel|Privacy:|Quyền riêng tư:|Quyền riêng tư:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.privacyText|Your contact information (email, phone, social media) will only be shared if you accept this request.|Thông tin liên hệ của bạn (email, số điện thoại, mạng xã hội) sẽ chỉ được chia sẻ khi bạn chấp nhận yêu cầu này.|Thông tin liên hệ của bạn (email, số điện thoại, mạng xã hội) sẽ chỉ được chia sẻ khi bạn chấp nhận yêu cầu này.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.acceptButton|Accept Connection|Chấp nhận kết nối|Chấp nhận kết nối
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.declineButton|Decline|Từ chối|Từ chối
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.footerText|This email was sent from the ABG Alumni Connect platform.|Email này được gửi từ nền tảng ABG Alumni Connect.|Email này được gửi từ nền tảng ABG Alumni Connect.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.footerIgnore|If you are not an ABG member, please ignore this email.|Nếu bạn không phải là thành viên ABG, vui lòng bỏ qua email này.|Nếu bạn không phải là thành viên ABG, vui lòng bỏ qua email này.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contact.roleAt|{role} at {company}|{role} tại {company}|{role} tại {company}
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.subject|[ABG Connect] Connection with {otherName} has been confirmed|[ABG Connect] Kết nối với {otherName} đã được xác nhận|[ABG Connect] Kết nối với {otherName} đã được xác nhận
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.greeting|Hi {recipientName},|Xin chào {recipientName},|Xin chào {recipientName},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.goodNews|Great news! The connection between you and {otherName} has been confirmed.|Tin vui! Kết nối giữa bạn và {otherName} đã được xác nhận.|Tin vui! Kết nối giữa bạn và {otherName} đã được xác nhận.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.contactInfo|Here are both contact details so you can start connecting:|Dưới đây là thông tin liên hệ của cả hai bên để bạn có thể bắt đầu kết nối:|Dưới đây là thông tin liên hệ của cả hai bên để bạn có thể bắt đầu kết nối:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.otherSectionTitle|{name}'s contact info|Thông tin của {name}|Thông tin của {name}
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.yourSectionTitle|Your contact info|Thông tin của bạn|Thông tin của bạn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.encourage|Take the initiative to reach out and start connecting! Wishing you great conversations.|Hãy chủ động liên hệ và bắt đầu kết nối nhé! Chúc bạn có những cuộc trò chuyện thú vị.|Hãy chủ động liên hệ và bắt đầu kết nối nhé! Chúc bạn có những cuộc trò chuyện thú vị.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.emailLabel|Email|Email|Email
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.phoneLabel|Phone|Điện thoại|Điện thoại
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.facebookLabel|Facebook|Facebook|Facebook
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactAccepted.linkedinLabel|LinkedIn|LinkedIn|LinkedIn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.subject|[ABG Connect] Someone is interested in connecting with you|[ABG Connect] Có người muốn kết nối với bạn|[ABG Connect] Có người muốn kết nối với bạn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.heading|Someone wants to connect with you!|Có người muốn kết nối với bạn!|Có người muốn kết nối với bạn!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.intro|A fellow ABG alumni has expressed interest in connecting with you. Here's a glimpse of who they are:|Một thành viên ABG Alumni đã bày tỏ sự quan tâm muốn kết nối với bạn. Dưới đây là một vài thông tin về họ:|Một thành viên ABG Alumni đã bày tỏ sự quan tâm muốn kết nối với bạn. Dưới đây là một vài thông tin về họ:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.aboutLabel|About them|Về họ|Về họ
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.interestsLabel|Interests|Sở thích|Sở thích
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.coreValuesLabel|Core Values|Giá trị cốt lõi|Giá trị cốt lõi
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.privacyNote|Their real name, contact info, and employer are kept private until you accept.|Tên thật, thông tin liên hệ và nơi làm việc của họ được giữ bí mật cho đến khi bạn chấp nhận.|Tên thật, thông tin liên hệ và nơi làm việc của họ được giữ bí mật cho đến khi bạn chấp nhận.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.viewPrompt|Log in to view their full anonymous profile and choose to accept or pass.|Đăng nhập để xem hồ sơ ẩn danh đầy đủ và chọn chấp nhận hoặc bỏ qua.|Đăng nhập để xem hồ sơ ẩn danh đầy đủ và chọn chấp nhận hoặc bỏ qua.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.ctaButton|View & Respond|Xem & Phản hồi|Xem & Phản hồi
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchNotification.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.subject|[ABG Connect] Congratulations! You've been matched|[ABG Connect] Chúc mừng! Bạn đã được ghép đôi thành công|[ABG Connect] Chúc mừng! Bạn đã được ghép đôi thành công
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.heading|Congratulations! You've been matched!|Chúc mừng! Bạn đã được ghép đôi!|Chúc mừng! Bạn đã được ghép đôi!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.intro|Great news — you and your match have both expressed mutual interest. Here are each other's contact details:|Tin vui — bạn và đối phương đều đã bày tỏ sự quan tâm lẫn nhau. Dưới đây là thông tin liên hệ của cả hai:|Tin vui — bạn và đối phương đều đã bày tỏ sự quan tâm lẫn nhau. Dưới đây là thông tin liên hệ của cả hai:
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.noContact|No additional contact info shared|Chưa có thông tin liên hệ bổ sung|Chưa có thông tin liên hệ bổ sung
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.encourage|We encourage you to reach out and start a conversation. Wishing you all the best!|Hãy chủ động liên hệ và bắt đầu cuộc trò chuyện. Chúc bạn mọi điều tốt đẹp!|Hãy chủ động liên hệ và bắt đầu cuộc trò chuyện. Chúc bạn mọi điều tốt đẹp!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.phoneLabel|Phone|SĐT|SĐT
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.linkedinLabel|LinkedIn|LinkedIn|LinkedIn
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.loveMatchAccept.emailLabel|Email|Email|Email
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.subject|[ABG Connect] Connection request update with {targetName}|[ABG Connect] Cập nhật yêu cầu kết nối với {targetName}|[ABG Connect] Cập nhật yêu cầu kết nối với {targetName}
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.greeting|Hi {requesterName},|Xin chào {requesterName},|Xin chào {requesterName},
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.thanks|Thank you for using ABG Alumni Connect. Unfortunately, your connection request with {targetName} was not accepted at this time.|Cảm ơn bạn đã sử dụng ABG Alumni Connect. Rất tiếc, yêu cầu kết nối của bạn với {targetName} hiện chưa được chấp nhận vào lúc này.|Cảm ơn bạn đã sử dụng ABG Alumni Connect. Rất tiếc, yêu cầu kết nối của bạn với {targetName} hiện chưa được chấp nhận vào lúc này.
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.encourage|Don't worry, the ABG Alumni community has many talented members waiting to connect with you. Keep exploring and discovering new opportunities!|Đừng lo, cộng đồng ABG Alumni có rất nhiều thành viên tài năng khác đang chờ kết nối với bạn. Hãy tiếp tục khám phá và tìm kiếm những cơ hội mới!|Đừng lo, cộng đồng ABG Alumni có rất nhiều thành viên tài năng khác đang chờ kết nối với bạn. Hãy tiếp tục khám phá và tìm kiếm những cơ hội mới!
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.ctaButton|Find New Connections|Tìm kết nối mới|Tìm kết nối mới
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.regards|Best regards,|Trân trọng,|Trân trọng,
Mẫu email|Nội dung các email tự động: chào mừng, giới thiệu, duyệt, từ chối...|email.contactDeclined.signature|ABG Alumni Connect|ABG Alumni Connect|ABG Alumni Connect
--- Trang lỗi ---|||||
Trang lỗi|Trang hiển thị khi có lỗi hệ thống|errorPage.title|Something went wrong|Toang rồi|Toang rồi
Trang lỗi|Trang hiển thị khi có lỗi hệ thống|errorPage.message|We encountered an unexpected error. Please try again.|Gặp lỗi gì đó rồi. Thử lại phát xem sao.|Gặp lỗi gì đó rồi. Thử lại phát xem sao.
Trang lỗi|Trang hiển thị khi có lỗi hệ thống|errorPage.retry|Try again|Thử lại|Thử lại
